accuracy,loss,val_accuracy,val_loss
0.7402223944664001,0.5826975107192993,0.5,0.7601804137229919
0.7358129024505615,0.5675057172775269,0.4375,0.7013976573944092
0.7478911280632019,0.5287116765975952,0.5625,0.6557555794715881
0.7639954090118408,0.5021210312843323,0.625,0.7191019058227539
0.7534509301185608,0.5005682110786438,0.5625,0.8538336753845215
0.796012282371521,0.4342901408672333,0.625,0.8532291650772095
0.8128834366798401,0.4057784378528595,0.625,1.284757375717163
0.8297545909881592,0.37658414244651794,0.625,1.028066635131836
0.8353143930435181,0.359129399061203,0.625,1.2561099529266357
0.8412576913833618,0.3500659465789795,0.625,1.2270784378051758
0.8468174934387207,0.33826011419296265,0.625,1.414785623550415
0.8518021702766418,0.32723668217658997,0.625,1.3359791040420532
0.8569785356521606,0.3277367949485779,0.625,1.3080213069915771
0.8565950989723206,0.3192756772041321,0.3125,1.0504579544067383
0.8594708442687988,0.3175317645072937,0.625,1.364341139793396
0.8571702241897583,0.32409560680389404,0.625,1.2348003387451172
0.8713573813438416,0.307145357131958,0.625,1.4852855205535889
0.8696318864822388,0.30306655168533325,0.625,1.0286647081375122
0.8640720844268799,0.31067129969596863,0.5625,1.0165331363677979
0.870782196521759,0.2934471666812897,0.625,0.9858946800231934
0.8769171833992004,0.2901529371738434,0.625,0.9830425977706909
0.8774923086166382,0.28518640995025635,0.625,1.1499748229980469
0.8776840567588806,0.28724271059036255,0.625,0.9545363187789917
0.875,0.28345224261283875,0.625,1.6426472663879395
0.8784509301185608,0.27871695160865784,0.625,1.217576026916504
0.8805598020553589,0.2815088629722595,0.625,1.0949958562850952
0.8912960290908813,0.26673993468284607,0.625,1.4224491119384766
0.8895705342292786,0.2679944932460785,0.5,1.5314767360687256
0.8830521702766418,0.281594455242157,0.625,1.5168347358703613
0.893980085849762,0.26398369669914246,0.5,1.7606542110443115
